WEEK, DATE, FAVORITE, UNDERDOG, SPREAD, TOTAL, AWAY MONEY LINE, HOME MONEY LINE
1, 5 September 2012, NYG, DAL, -3, 47, N/A, N/A
1, 9 September 2012, NYJ, BUF, -3, 42.5, N/A, N/A
1, 9 September 2012, DET, SLR, -9.5, 47, N/A, N/A
1, 9 September 2012, NE, TEN, -6.5, 48.5, N/A, N/A
1, 9 September 2012, CHI, IND, -9.5, 41.5, N/A, N/A
1, 9 September 2012, PHI, CLE, -9, 42, N/A, N/A
1, 9 September 2012, HOU, MIA, -13, 44.5, N/A, N/A
1, 9 September 2012, ATL, KC, -2.5, 42, N/A, N/A
1, 9 September 2012, MIN, JAX, -3.5, 39, N/A, N/A
1, 9 September 2012, NO, WAS, -8.5, 51.5, N/A, N/A
1, 9 September 2012, SEA, ARI, -3, 42, N/A, N/A
1, 9 September 2012, CAR, TB, -2.5, 47, N/A, N/A
1, 9 September 2012, GB, SF, -5, 45, N/A, N/A
1, 9 September 2012, DEN, PIT, -2, 45, N/A, N/A
1, 10 September 2012, BAL, CIN, -7, 40.5, N/A, N/A
1, 10 September 2012, OAK, LAC, -1, 47.5, N/A, N/A
2, 13 September 2012, GB, CHI, -5, 48.5, N/A, N/A
2, 16 September 2012, MIN, IND, -3, 43, N/A, N/A
2, 16 September 2012, HOU, JAX, -6.5, 42.5, N/A, N/A
2, 16 September 2012, BUF, KC, -3, 45, N/A, N/A
2, 16 September 2012, NO, CAR, -3, 48, N/A, N/A
2, 16 September 2012, CIN, CLE, -7, 41.5, N/A, N/A
2, 16 September 2012, OAK, MIA, -1, 41, N/A, N/A
2, 16 September 2012, NE, ARI, -12.5, 48, N/A, N/A
2, 16 September 2012, NYG, TB, -8.5, 43.5, N/A, N/A
2, 16 September 2012, PHI, BAL, -2.5, 44, N/A, N/A
2, 16 September 2012, DAL, SEA, -3, 43, N/A, N/A
2, 16 September 2012, WAS, SLR, -3.5, 46, N/A, N/A
2, 16 September 2012, LAC, TEN, -6.5, 44.5, N/A, N/A
2, 16 September 2012, PIT, NYJ, -4.5, 41.5, N/A, N/A
2, 16 September 2012, SF, DET, -7, 46.5, N/A, N/A
2, 17 September 2012, ATL, DEN, -3, 48, N/A, N/A
3, 20 September 2012, CAR, NYG, -2.5, 49, N/A, N/A
3, 23 September 2012, CHI, SLR, -7, 41.5, N/A, N/A
3, 23 September 2012, BUF, CLE, -3, 45.5, N/A, N/A
3, 23 September 2012, DAL, TB, -8, 46, N/A, N/A
3, 23 September 2012, IND, JAX, -3, 43, N/A, N/A
3, 23 September 2012, NYJ, MIA, -2.5, 40.5, N/A, N/A
3, 23 September 2012, SF, MIN, -7, 43, N/A, N/A
3, 23 September 2012, NO, KC, -9, 51.5, N/A, N/A
3, 23 September 2012, DET, TEN, -3.5, 47, N/A, N/A
3, 23 September 2012, WAS, CIN, -3, 49.5, N/A, N/A
3, 23 September 2012, LAC, ATL, -3, 47, N/A, N/A
3, 23 September 2012, PHI, ARI, -3, 42.5, N/A, N/A
3, 23 September 2012, HOU, DEN, -1.5, 43.5, N/A, N/A
3, 23 September 2012, PIT, OAK, -3.5, 45, N/A, N/A
3, 23 September 2012, BAL, NE, -2.5, 48.5, N/A, N/A
3, 24 September 2012, GB, SEA, -3, 45.5, N/A, N/A
4, 27 September 2012, BAL, CLE, -12, 43.5, N/A, N/A
4, 30 September 2012, NE, BUF, -4, 48.5, N/A, N/A
4, 30 September 2012, ATL, CAR, -7, 48, N/A, N/A
4, 30 September 2012, DET, MIN, -3.5, 48.5, N/A, N/A
4, 30 September 2012, HOU, TEN, -13, 45, N/A, N/A
4, 30 September 2012, LAC, KC, -2, 44, N/A, N/A
4, 30 September 2012, SEA, SLR, -2.5, 39.5, N/A, N/A
4, 30 September 2012, SF, NYJ, -4, 41, N/A, N/A
4, 30 September 2012, DEN, OAK, -6.5, 47, N/A, N/A
4, 30 September 2012, JAX, CIN, -1, 45.5, N/A, N/A
4, 30 September 2012, ARI, MIA, -4, 39, N/A, N/A
4, 30 September 2012, GB, NO, -7.5, 54, N/A, N/A
4, 30 September 2012, TB, WAS, -2, 44.5, N/A, N/A
4, 30 September 2012, PHI, NYG, -2.5, 46, N/A, N/A
