WEEK, DATE, HOME, AWAY, WIN, PTS W, PTS L, YDS W, YDS L
1, 5 September 2013, DEN, BAL, AWAY, 49, 27, 510, 393
1, 8 September 2013, CLE, MIA, AWAY, 23, 10, 275, 291
1, 8 September 2013, BUF, NE, AWAY, 23, 21, 431, 286
1, 8 September 2013, CHI, CIN, AWAY, 24, 21, 323, 340
1, 8 September 2013, IND, OAK, AWAY, 21, 17, 274, 372
1, 8 September 2013, PIT, TEN, HOME, 16, 9, 229, 194
1, 8 September 2013, DET, MIN, AWAY, 34, 24, 469, 330
1, 8 September 2013, NYJ, TB, AWAY, 18, 17, 304, 250
1, 8 September 2013, JAX, KC, AWAY, 28, 2, 292, 178
1, 8 September 2013, NO, ATL, AWAY, 23, 17, 419, 367
1, 8 September 2013, CAR, SEA, HOME, 12, 7, 370, 253
1, 8 September 2013, SLR, ARI, AWAY, 27, 24, 366, 390
1, 8 September 2013, SF, GB, AWAY, 34, 28, 494, 385
1, 8 September 2013, DAL, NYG, AWAY, 36, 31, 331, 478
1, 9 September 2013, WAS, PHI, AWAY, 33, 27, 443, 382
1, 9 September 2013, LAC, HOU, AWAY, 31, 28, 449, 263
2, 12 September 2013, NE, NYJ, AWAY, 13, 10, 232, 318
2, 15 September 2013, KC, DAL, AWAY, 17, 16, 313, 318
2, 15 September 2013, BAL, CLE, HOME, 14, 6, 296, 259
2, 15 September 2013, BUF, CAR, AWAY, 24, 23, 436, 308
2, 15 September 2013, PHI, LAC, AWAY, 33, 30, 539, 511
2, 15 September 2013, IND, MIA, AWAY, 24, 20, 398, 448
2, 15 September 2013, GB, WAS, AWAY, 38, 20, 580, 422
2, 15 September 2013, HOU, TEN, AWAY, 30, 24, 452, 248
2, 15 September 2013, CHI, MIN, AWAY, 31, 30, 411, 350
2, 15 September 2013, ATL, SLR, AWAY, 31, 24, 393, 421
2, 15 September 2013, TB, NO, AWAY, 16, 14, 371, 273
2, 15 September 2013, ARI, DET, AWAY, 25, 21, 348, 322
2, 15 September 2013, NYG, DEN, AWAY, 41, 23, 414, 376
2, 15 September 2013, OAK, JAX, HOME, 19, 9, 340, 248
2, 15 September 2013, SEA, SF, HOME, 29, 3, 290, 207
2, 16 September 2013, CIN, PIT, AWAY, 20, 10, 407, 278
3, 19 September 2013, PHI, KC, AWAY, 26, 16, 394, 431
3, 22 September 2013, NE, TB, HOME, 23, 3, 358, 323
3, 22 September 2013, DAL, SLR, HOME, 31, 7, 396, 232
3, 22 September 2013, CIN, GB, AWAY, 34, 30, 297, 399
3, 22 September 2013, WAS, DET, AWAY, 27, 20, 441, 420
3, 22 September 2013, CAR, NYG, AWAY, 38, 0, 402, 150
3, 22 September 2013, BAL, HOU, HOME, 30, 9, 236, 264
3, 22 September 2013, NO, ARI, HOME, 31, 7, 423, 247
3, 22 September 2013, TEN, LAC, AWAY, 20, 17, 452, 277
3, 22 September 2013, MIN, CLE, AWAY, 31, 27, 409, 329
3, 22 September 2013, MIA, ATL, AWAY, 27, 23, 285, 377
3, 22 September 2013, SF, IND, HOME, 27, 7, 336, 254
3, 22 September 2013, NYJ, BUF, AWAY, 27, 20, 513, 328
3, 22 September 2013, SEA, JAX, AWAY, 45, 17, 479, 265
3, 22 September 2013, PIT, CHI, AWAY, 40, 23, 258, 459
3, 23 September 2013, DEN, OAK, AWAY, 37, 21, 536, 342
4, 26 September 2013, SLR, SF, AWAY, 35, 11, 370, 188
4, 29 September 2013, BUF, BAL, AWAY, 23, 20, 350, 345
4, 29 September 2013, KC, NYG, HOME, 31, 7, 390, 298
4, 29 September 2013, HOU, SEA, AWAY, 23, 20, 270, 476
4, 29 September 2013, TB, ARI, AWAY, 13, 10, 296, 253
4, 29 September 2013, DET, CHI, AWAY, 40, 32, 387, 417
4, 29 September 2013, JAX, IND, AWAY, 37, 3, 437, 205
4, 29 September 2013, CLE, CIN, HOME, 17, 6, 336, 266
4, 29 September 2013, MIN, PIT, AWAY, 34, 27, 393, 434
4, 29 September 2013, TEN, NYJ, AWAY, 38, 13, 322, 330
4, 29 September 2013, OAK, WAS, AWAY, 24, 14, 339, 298
4, 29 September 2013, LAC, DAL, AWAY, 30, 21, 506, 319
4, 29 September 2013, DEN, PHI, AWAY, 52, 20, 472, 450
4, 29 September 2013, ATL, NE, AWAY, 30, 23, 448, 457
4, 30 September 2013, NO, MIA, AWAY, 38, 17, 465, 331
5, 3 October 2013, CLE, BUF, AWAY, 37, 24, 290, 343
5, 6 October 2013, SLR, JAX, AWAY, 34, 20, 351, 363
5, 6 October 2013, NYG, PHI, AWAY, 36, 21, 439, 383
5, 6 October 2013, MIA, BAL, AWAY, 26, 23, 384, 294
5, 6 October 2013, GB, DET, HOME, 22, 9, 449, 286
5, 6 October 2013, CHI, NO, AWAY, 26, 18, 347, 434
5, 6 October 2013, CIN, NE, HOME, 13, 6, 341, 248
5, 6 October 2013, TEN, KC, AWAY, 26, 17, 353, 339
5, 6 October 2013, IND, SEA, AWAY, 34, 28, 317, 423
5, 6 October 2013, ARI, CAR, HOME, 22, 6, 250, 353
5, 6 October 2013, DAL, DEN, AWAY, 51, 48, 517, 522
5, 6 October 2013, SF, HOU, AWAY, 34, 3, 284, 313
5, 6 October 2013, OAK, LAC, AWAY, 27, 17, 299, 427
5, 7 October 2013, ATL, NYJ, AWAY, 30, 28, 288, 363
6, 10 October 2013, CHI, NYG, AWAY, 27, 21, 372, 355
6, 13 October 2013, BAL, GB, AWAY, 19, 17, 438, 360
6, 13 October 2013, BUF, CIN, AWAY, 27, 24, 483, 322
6, 13 October 2013, KC, OAK, HOME, 24, 7, 216, 274
6, 13 October 2013, CLE, DET, AWAY, 31, 17, 366, 395
6, 13 October 2013, HOU, SLR, AWAY, 38, 13, 216, 420
6, 13 October 2013, NYJ, PIT, HOME, 19, 6, 328, 267
6, 13 October 2013, TB, PHI, AWAY, 31, 20, 425, 351
6, 13 October 2013, MIN, CAR, AWAY, 35, 10, 367, 290
6, 13 October 2013, DEN, JAX, AWAY, 35, 19, 407, 362
6, 13 October 2013, SEA, TEN, AWAY, 20, 13, 404, 223
6, 13 October 2013, SF, ARI, AWAY, 32, 20, 387, 403
6, 13 October 2013, NE, NO, AWAY, 30, 27, 376, 361
6, 13 October 2013, DAL, WAS, AWAY, 31, 16, 213, 433
6, 14 October 2013, LAC, IND, HOME, 19, 9, 374, 267
7, 17 October 2013, ARI, SEA, AWAY, 34, 22, 344, 234
7, 20 October 2013, ATL, TB, AWAY, 31, 23, 291, 337
7, 20 October 2013, PHI, DAL, HOME, 17, 3, 368, 278
7, 20 October 2013, JAX, LAC, HOME, 24, 6, 434, 353
7, 20 October 2013, MIA, BUF, AWAY, 23, 21, 268, 293
7, 20 October 2013, DET, CIN, AWAY, 27, 24, 421, 434
7, 20 October 2013, CAR, SLR, AWAY, 30, 15, 282, 317
7, 20 October 2013, NYJ, NE, AWAY, 30, 27, 383, 295
7, 20 October 2013, WAS, CHI, AWAY, 45, 41, 499, 359
7, 20 October 2013, TEN, SF, AWAY, 31, 17, 349, 368
7, 20 October 2013, PIT, BAL, AWAY, 19, 16, 286, 287
7, 20 October 2013, GB, CLE, AWAY, 31, 13, 357, 216
7, 20 October 2013, KC, HOU, AWAY, 17, 16, 357, 294
7, 20 October 2013, IND, DEN, AWAY, 39, 33, 334, 429
7, 21 October 2013, NYG, MIN, HOME, 23, 7, 257, 206
8, 24 October 2013, TB, CAR, AWAY, 31, 13, 324, 297
8, 27 October 2013, NE, MIA, AWAY, 27, 17, 252, 301
8, 27 October 2013, NO, BUF, AWAY, 35, 17, 386, 299
8, 27 October 2013, KC, CLE, AWAY, 23, 17, 331, 340
8, 27 October 2013, PHI, NYG, HOME, 15, 7, 325, 200
8, 27 October 2013, DET, DAL, AWAY, 31, 30, 623, 268
8, 27 October 2013, JAX, SF, AWAY, 42, 10, 398, 318
8, 27 October 2013, OAK, PIT, AWAY, 21, 18, 279, 276
8, 27 October 2013, CIN, NYJ, HOME, 49, 9, 402, 240
8, 27 October 2013, ARI, ATL, AWAY, 27, 13, 348, 292
8, 27 October 2013, DEN, WAS, AWAY, 45, 21, 446, 266
8, 27 October 2013, MIN, GB, AWAY, 44, 31, 464, 243
8, 28 October 2013, SLR, SEA, HOME, 14, 9, 135, 339
9, 31 October 2013, MIA, CIN, AWAY, 22, 20, 345, 465
9, 3 November 2013, SLR, TEN, AWAY, 28, 21, 363, 363
9, 3 November 2013, BUF, KC, AWAY, 23, 13, 210, 470
9, 3 November 2013, CAR, ATL, AWAY, 34, 10, 373, 289
9, 3 November 2013, WAS, LAC, AWAY, 30, 24, 500, 410
9, 3 November 2013, DAL, MIN, AWAY, 27, 23, 350, 393
9, 3 November 2013, NYJ, NO, AWAY, 26, 20, 338, 407
9, 3 November 2013, OAK, PHI, AWAY, 49, 20, 542, 560
9, 3 November 2013, SEA, TB, AWAY, 27, 24, 415, 350
9, 3 November 2013, NE, PIT, AWAY, 55, 31, 610, 479
9, 3 November 2013, CLE, BAL, AWAY, 24, 18, 315, 278
9, 3 November 2013, HOU, IND, AWAY, 27, 24, 314, 483
9, 4 November 2013, GB, CHI, AWAY, 27, 20, 442, 312
10, 7 November 2013, MIN, WAS, AWAY, 34, 27, 307, 433
10, 10 November 2013, TEN, JAX, AWAY, 29, 27, 214, 362
10, 10 November 2013, GB, PHI, AWAY, 27, 13, 415, 396
10, 10 November 2013, PIT, BUF, AWAY, 23, 10, 300, 227
10, 10 November 2013, BAL, CIN, AWAY, 20, 17, 189, 364
10, 10 November 2013, CHI, DET, AWAY, 21, 19, 364, 338
10, 10 November 2013, IND, SLR, HOME, 38, 8, 372, 406
10, 10 November 2013, NYG, OAK, AWAY, 24, 20, 251, 213
10, 10 November 2013, ATL, SEA, AWAY, 33, 10, 490, 226
10, 10 November 2013, SF, CAR, HOME, 10, 9, 250, 151
10, 10 November 2013, LAC, DEN, AWAY, 28, 20, 397, 329
10, 10 November 2013, ARI, HOU, AWAY, 27, 24, 332, 235
10, 10 November 2013, NO, DAL, AWAY, 49, 17, 625, 193
10, 11 November 2013, TB, MIA, AWAY, 22, 19, 264, 213
11, 14 November 2013, TEN, IND, AWAY, 30, 27, 366, 340
11, 17 November 2013, PIT, DET, AWAY, 37, 27, 398, 451
11, 17 November 2013, CHI, BAL, AWAY, 23, 20, 319, 317
11, 17 November 2013, BUF, NYJ, AWAY, 37, 14, 313, 267
11, 17 November 2013, CIN, CLE, AWAY, 41, 20, 224, 330
11, 17 November 2013, PHI, WAS, AWAY, 24, 16, 402, 427
11, 17 November 2013, HOU, OAK, AWAY, 28, 23, 341, 394
11, 17 November 2013, TB, ATL, AWAY, 41, 28, 410, 420
11, 17 November 2013, JAX, ARI, AWAY, 27, 14, 416, 274
11, 17 November 2013, MIA, LAC, AWAY, 20, 16, 343, 435
11, 17 November 2013, NYG, GB, AWAY, 27, 13, 334, 394
11, 17 November 2013, NO, SF, AWAY, 23, 20, 387, 196
11, 17 November 2013, SEA, MIN, AWAY, 41, 20, 323, 336
11, 17 November 2013, DEN, KC, AWAY, 27, 17, 427, 344
11, 18 November 2013, CAR, NE, AWAY, 24, 20, 300, 390
12, 21 November 2013, ATL, NO, AWAY, 17, 13, 374, 355
12, 24 November 2013, SLR, CHI, AWAY, 42, 21, 406, 424
12, 24 November 2013, BAL, NYJ, HOME, 19, 3, 312, 220
12, 24 November 2013, GB, MIN, TIE, 26, 26, 447, 494
12, 24 November 2013, HOU, JAX, HOME, 13, 6, 333, 218
12, 24 November 2013, DET, TB, AWAY, 24, 21, 229, 390
12, 24 November 2013, CLE, PIT, AWAY, 27, 11, 302, 367
12, 24 November 2013, MIA, CAR, AWAY, 20, 16, 295, 332
12, 24 November 2013, KC, LAC, AWAY, 41, 38, 491, 395
12, 24 November 2013, OAK, TEN, AWAY, 23, 19, 426, 353
12, 24 November 2013, ARI, IND, AWAY, 40, 11, 410, 239
12, 24 November 2013, NYG, DAL, AWAY, 24, 21, 311, 356
12, 24 November 2013, NE, DEN, AWAY, 34, 31, 440, 412
12, 25 November 2013, WAS, SF, HOME, 27, 6, 304, 190
13, 28 November 2013, DET, GB, AWAY, 40, 10, 561, 126
13, 28 November 2013, DAL, OAK, AWAY, 31, 24, 352, 305
13, 28 November 2013, BAL, PIT, AWAY, 22, 20, 311, 329
13, 1 December 2013, CLE, JAX, AWAY, 32, 28, 314, 439
