TEAM, OFF PTS/G, OFF YDS/G, OFF P YDS/G, OFF R YDS/G, DEF PTS/G, DEF YDS/G, DEF P YDS/G, DEF R YDS/G
Arizona, 18.1, 269.3, 182.6, 86.8, 27.1, 373.6, 228.4, 145.2
Atlanta, 25.9, 341.1, 222.9, 118.2, 18, 332.4, 226.6, 105.9
Baltimore, 22.3, 322.9, 208.4, 114.4, 16.9, 318.9, 224.9, 93.9
Buffalo, 17.7, 304.9, 197.4, 107.5, 26.6, 361.6, 192, 169.6
Carolina, 12.3, 258.4, 143.1, 115.4, 25.5, 335.9, 212.1, 123.8
Chicago, 20.9, 289.4, 188.4, 101, 17.9, 314.3, 224.3, 90.1
Cincinnati, 20.1, 330.6, 235.4, 95.1, 24.7, 332, 216.8, 115.2
Cleveland, 16.9, 289.7, 186.8, 102.9, 20.8, 350.1, 220.7, 129.4
Dallas, 24.6, 364.3, 252.6, 111.6, 27.3, 351.8, 243.4, 108.4
Denver, 21.5, 348.9, 252.4, 96.5, 29.4, 390.8, 236.3, 154.6
Detroit, 22.6, 338.9, 238.1, 100.8, 23.1, 343.6, 218.6, 124.9
Green Bay, 24.3, 358.1, 257.8, 100.4, 15, 309.1, 194.2, 114.9
Houston, 24.4, 386.6, 259, 127.6, 26.7, 376.9, 267.5, 109.4
Indianapolis, 27.2, 380.8, 288.1, 92.7, 24.3, 341.6, 214.6, 127
Jacksonville, 22.1, 341.3, 191.6, 149.7, 26.2, 371.8, 250.3, 121.6
Kansas City, 22.9, 349.7, 185.5, 164.2, 20.4, 330.2, 219.9, 110.3
LA Chargers, 27.6, 395.6, 282.4, 113.1, 20.1, 271.6, 177.8, 93.8
LA Rams, 18.1, 302.9, 204.3, 98.6, 20.5, 336.8, 223.6, 113.1
Miami, 17.1, 323.1, 220.4, 102.7, 20.8, 309.3, 209.3, 100.1
Minnesota, 17.6, 314.9, 193.6, 121.4, 21.8, 312.6, 210.4, 102.2
New England, 32.4, 363.8, 240.4, 123.3, 19.6, 366.5, 258.5, 108
New Orleans, 24, 372.5, 277.6, 94.9, 19.2, 306.3, 193.9, 112.3
NY Giants, 24.6, 380.3, 242.8, 137.5, 21.7, 310.8, 209.5, 101.3
NY Jets, 22.9, 351, 202.6, 148.4, 19, 291.5, 200.6, 90.9
Oakland, 25.6, 354.6, 198.8, 155.9, 23.2, 322.8, 189.2, 133.6
Philadelphia, 27.4, 389.4, 244.1, 145.3, 23.6, 327.2, 216.8, 110.4
Pittsburgh, 23.4, 345.3, 225.1, 120.3, 14.5, 276.8, 214.1, 62.8
Seattle, 19.4, 297.8, 208.8, 89, 25.4, 368.6, 249.6, 118.9
San Francisco, 19.1, 313.3, 209.8, 103.6, 21.6, 327.8, 231.1, 96.7
Tampa Bay, 21.3, 335.1, 210.1, 125.1, 19.9, 332.7, 201, 131.7
Tennessee, 22.3, 302.1, 194.2, 107.9, 21.2, 367.7, 252, 115.7
Washington, 18.9, 335.9, 244.6, 91.3, 23.6, 389.3, 261.7, 127.6
